details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:49:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:50:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:51:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:52:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:53:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:54:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:55:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:00
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:05
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:10
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:15
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:20
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:25
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:30
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:35
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:40
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:45
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:50
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:56:55
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:00
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:05
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:10
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:15
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:20
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:25
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:30
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:35
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:40
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:45
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:50
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:57:55
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:00
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:05
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:10
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:15
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:20
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:25
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:30
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:35
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:40
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:45
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:50
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:58:55
2.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 13:59:00
