details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:30:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:31:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:32:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:33:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:34:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:35:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 17:36:01
