details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:30:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:31:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:32:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:33:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:34:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:34:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:34:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-05 18:34:16
