details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:54:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:55:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:56:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:57:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:58:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 07:59:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:16
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:21
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:26
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:31
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:36
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:41
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:46
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:51
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:00:56
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:01:01
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:01:06
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:01:11
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 08:01:16
1.0,1.0,2.0,1.0,1.0,1.0,2024-03-11 08:01:21
1.0,1.0,2.0,1.0,1.0,1.0,2024-03-11 08:01:26
1.0,1.0,2.0,1.0,1.0,1.0,2024-03-11 08:01:31
1.0,1.0,2.0,1.0,1.0,1.0,2024-03-11 08:01:36
