source,destination,timestamp
productpage-v1,details-v1,2024-03-06 02:00:03
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:03
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:03
productpage-v1,reviews-v3,2024-03-06 02:00:03
productpage-v1,reviews-v2,2024-03-06 02:00:03
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:03
productpage-v1,reviews-v1,2024-03-06 02:00:03
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:03
reviews-v3,ratings-v1,2024-03-06 02:00:03
reviews-v2,ratings-v1,2024-03-06 02:00:03
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 02:00:03
istio-ingressgateway,productpage-v1,2024-03-06 02:00:03
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:03
productpage-v1,reviews-v1,2024-03-06 02:00:08
reviews-v3,ratings-v1,2024-03-06 02:00:08
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:08
istio-ingressgateway,productpage-v1,2024-03-06 02:00:08
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:08
productpage-v1,reviews-v2,2024-03-06 02:00:08
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 02:00:08
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:08
productpage-v1,reviews-v3,2024-03-06 02:00:08
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:08
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:08
productpage-v1,details-v1,2024-03-06 02:00:08
reviews-v2,ratings-v1,2024-03-06 02:00:08
productpage-v1,details-v1,2024-03-06 02:00:13
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:13
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:13
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:13
reviews-v2,ratings-v1,2024-03-06 02:00:13
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:13
productpage-v1,reviews-v2,2024-03-06 02:00:13
productpage-v1,reviews-v3,2024-03-06 02:00:13
productpage-v1,reviews-v1,2024-03-06 02:00:13
istio-ingressgateway,productpage-v1,2024-03-06 02:00:13
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 02:00:13
reviews-v3,ratings-v1,2024-03-06 02:00:13
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:13
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:18
productpage-v1,reviews-v2,2024-03-06 02:00:18
istio-ingressgateway,productpage-v1,2024-03-06 02:00:18
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 02:00:18
productpage-v1,reviews-v3,2024-03-06 02:00:18
reviews-v2,ratings-v1,2024-03-06 02:00:18
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:18
productpage-v1,details-v1,2024-03-06 02:00:18
productpage-v1,reviews-v1,2024-03-06 02:00:18
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:18
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:18
reviews-v3,ratings-v1,2024-03-06 02:00:18
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:18
reviews-v2,ratings-v1,2024-03-06 02:00:23
productpage-v1,reviews-v3,2024-03-06 02:00:23
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 02:00:23
productpage-v1,reviews-v2,2024-03-06 02:00:23
istio-ingressgateway,productpage-v1,2024-03-06 02:00:23
reviews-v3,ratings-v1,2024-03-06 02:00:23
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:23
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:23
productpage-v1,details-v1,2024-03-06 02:00:23
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:23
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:23
productpage-v1,reviews-v1,2024-03-06 02:00:23
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:23
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:28
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:28
productpage-v1,details-v1,2024-03-06 02:00:28
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:28
productpage-v1,reviews-v3,2024-03-06 02:00:28
reviews-v2,ratings-v1,2024-03-06 02:00:28
reviews-v3,ratings-v1,2024-03-06 02:00:28
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:28
istio-ingressgateway,productpage-v1,2024-03-06 02:00:28
productpage-v1,reviews-v2,2024-03-06 02:00:28
productpage-v1,reviews-v1,2024-03-06 02:00:28
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 02:00:28
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 02:00:28
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:33
istio-ingressgateway,productpage-v1,2024-03-06 02:00:33
productpage-v1,details-v1,2024-03-06 02:00:33
productpage-v1,reviews-v2,2024-03-06 02:00:33
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 02:00:33
