source,destination,timestamp
productpage-v1,details-v1,2024-03-06 06:15:04
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:04
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:04
productpage-v1,reviews-v3,2024-03-06 06:15:04
productpage-v1,reviews-v2,2024-03-06 06:15:04
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:04
productpage-v1,reviews-v1,2024-03-06 06:15:04
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:04
reviews-v3,ratings-v1,2024-03-06 06:15:04
reviews-v2,ratings-v1,2024-03-06 06:15:04
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:04
istio-ingressgateway,productpage-v1,2024-03-06 06:15:04
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:04
productpage-v1,reviews-v1,2024-03-06 06:15:09
reviews-v3,ratings-v1,2024-03-06 06:15:09
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:09
istio-ingressgateway,productpage-v1,2024-03-06 06:15:09
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:09
productpage-v1,reviews-v2,2024-03-06 06:15:09
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:09
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:09
productpage-v1,reviews-v3,2024-03-06 06:15:09
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:09
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:09
productpage-v1,details-v1,2024-03-06 06:15:09
reviews-v2,ratings-v1,2024-03-06 06:15:09
productpage-v1,details-v1,2024-03-06 06:15:14
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:14
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:14
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:14
reviews-v2,ratings-v1,2024-03-06 06:15:14
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:14
productpage-v1,reviews-v2,2024-03-06 06:15:14
productpage-v1,reviews-v3,2024-03-06 06:15:14
productpage-v1,reviews-v1,2024-03-06 06:15:14
istio-ingressgateway,productpage-v1,2024-03-06 06:15:14
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:14
reviews-v3,ratings-v1,2024-03-06 06:15:14
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:14
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:19
productpage-v1,reviews-v2,2024-03-06 06:15:19
istio-ingressgateway,productpage-v1,2024-03-06 06:15:19
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:19
productpage-v1,reviews-v3,2024-03-06 06:15:19
reviews-v2,ratings-v1,2024-03-06 06:15:19
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:19
productpage-v1,details-v1,2024-03-06 06:15:19
productpage-v1,reviews-v1,2024-03-06 06:15:19
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:19
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:19
reviews-v3,ratings-v1,2024-03-06 06:15:19
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:19
reviews-v2,ratings-v1,2024-03-06 06:15:24
productpage-v1,reviews-v3,2024-03-06 06:15:24
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:24
productpage-v1,reviews-v2,2024-03-06 06:15:24
istio-ingressgateway,productpage-v1,2024-03-06 06:15:24
reviews-v3,ratings-v1,2024-03-06 06:15:24
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:24
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:24
productpage-v1,details-v1,2024-03-06 06:15:24
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:24
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:24
productpage-v1,reviews-v1,2024-03-06 06:15:24
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:24
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:29
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:29
productpage-v1,details-v1,2024-03-06 06:15:29
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:29
productpage-v1,reviews-v3,2024-03-06 06:15:29
reviews-v2,ratings-v1,2024-03-06 06:15:29
reviews-v3,ratings-v1,2024-03-06 06:15:29
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:29
istio-ingressgateway,productpage-v1,2024-03-06 06:15:29
productpage-v1,reviews-v2,2024-03-06 06:15:29
productpage-v1,reviews-v1,2024-03-06 06:15:29
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:29
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:29
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:34
istio-ingressgateway,productpage-v1,2024-03-06 06:15:34
productpage-v1,details-v1,2024-03-06 06:15:34
productpage-v1,reviews-v2,2024-03-06 06:15:34
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:34
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:34
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:34
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:34
productpage-v1,reviews-v3,2024-03-06 06:15:34
reviews-v3,ratings-v1,2024-03-06 06:15:34
reviews-v2,ratings-v1,2024-03-06 06:15:34
productpage-v1,reviews-v1,2024-03-06 06:15:34
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:34
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:39
productpage-v1,reviews-v3,2024-03-06 06:15:39
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:39
reviews-v3,ratings-v1,2024-03-06 06:15:39
productpage-v1,reviews-v2,2024-03-06 06:15:39
istio-ingressgateway,productpage-v1,2024-03-06 06:15:39
productpage-v1,details-v1,2024-03-06 06:15:39
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:39
reviews-v2,ratings-v1,2024-03-06 06:15:39
productpage-v1,reviews-v1,2024-03-06 06:15:39
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:39
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:39
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:39
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:44
productpage-v1,reviews-v3,2024-03-06 06:15:44
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:44
reviews-v3,ratings-v1,2024-03-06 06:15:44
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:44
productpage-v1,reviews-v2,2024-03-06 06:15:44
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:44
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:44
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:44
productpage-v1,reviews-v1,2024-03-06 06:15:44
istio-ingressgateway,productpage-v1,2024-03-06 06:15:44
productpage-v1,details-v1,2024-03-06 06:15:44
reviews-v2,ratings-v1,2024-03-06 06:15:44
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:49
productpage-v1,reviews-v3,2024-03-06 06:15:49
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:49
reviews-v3,ratings-v1,2024-03-06 06:15:49
productpage-v1,reviews-v2,2024-03-06 06:15:49
reviews-v2,ratings-v1,2024-03-06 06:15:49
productpage-v1,reviews-v1,2024-03-06 06:15:49
istio-ingressgateway,productpage-v1,2024-03-06 06:15:49
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:49
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:49
productpage-v1,details-v1,2024-03-06 06:15:49
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:49
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:49
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:54
productpage-v1,details-v1,2024-03-06 06:15:54
reviews-v3,ratings-v1,2024-03-06 06:15:54
productpage-v1,reviews-v1,2024-03-06 06:15:54
productpage-v1,reviews-v2,2024-03-06 06:15:54
reviews-v2,ratings-v1,2024-03-06 06:15:54
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:54
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:54
productpage-v1,reviews-v3,2024-03-06 06:15:54
istio-ingressgateway,productpage-v1,2024-03-06 06:15:54
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:54
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:54
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:54
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:59
productpage-v1,reviews-v3,2024-03-06 06:15:59
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:59
productpage-v1,reviews-v1,2024-03-06 06:15:59
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:15:59
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:59
productpage-v1,reviews-v2,2024-03-06 06:15:59
productpage-v1,details-v1,2024-03-06 06:15:59
istio-ingressgateway,productpage-v1,2024-03-06 06:15:59
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:15:59
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:15:59
reviews-v2,ratings-v1,2024-03-06 06:15:59
reviews-v3,ratings-v1,2024-03-06 06:15:59
reviews-v3,ratings-v1,2024-03-06 06:16:04
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:16:04
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:16:04
productpage-v1,details-v1,2024-03-06 06:16:04
productpage-v1,reviews-v2,2024-03-06 06:16:04
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:16:04
istio-ingressgateway,productpage-v1,2024-03-06 06:16:04
productpage-v1,reviews-v3,2024-03-06 06:16:04
reviews-v2,ratings-v1,2024-03-06 06:16:04
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:16:04
productpage-v1,reviews-v1,2024-03-06 06:16:04
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:16:04
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:16:04
reviews-v3,ratings-v1,2024-03-06 06:16:09
reviews-v2,ratings-v1,2024-03-06 06:16:09
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 06:16:09
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:16:09
productpage-v1,reviews-v1,2024-03-06 06:16:09
productpage-v1,reviews-v2,2024-03-06 06:16:09
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:16:09
productpage-v1,details-v1,2024-03-06 06:16:09
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 06:16:09
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:16:09
istio-ingressgateway,productpage-v1,2024-03-06 06:16:09
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:16:09
productpage-v1,reviews-v3,2024-03-06 06:16:09
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:16:14
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:16:14
reviews-v1-7b76c4f45d-x9mxc,izbp16opgy3xucvexwqp9dz,2024-03-06 06:16:14
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 06:16:14
istio-ingressgateway,productpage-v1,2024-03-06 06:16:14
