source,destination,timestamp
productpage-v1,details-v1,2024-03-06 17:37:01
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:01
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:01
productpage-v1,reviews-v3,2024-03-06 17:37:01
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:01
productpage-v1,reviews-v2,2024-03-06 17:37:01
productpage-v1,reviews-v1,2024-03-06 17:37:01
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:01
reviews-v3,ratings-v1,2024-03-06 17:37:01
reviews-v2,ratings-v1,2024-03-06 17:37:01
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 17:37:01
istio-ingressgateway,productpage-v1,2024-03-06 17:37:01
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:01
productpage-v1,reviews-v3,2024-03-06 17:37:06
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:06
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:06
productpage-v1,details-v1,2024-03-06 17:37:06
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:06
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 17:37:06
reviews-v2,ratings-v1,2024-03-06 17:37:06
reviews-v3,ratings-v1,2024-03-06 17:37:06
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:06
productpage-v1,reviews-v2,2024-03-06 17:37:06
istio-ingressgateway,productpage-v1,2024-03-06 17:37:06
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:06
productpage-v1,reviews-v1,2024-03-06 17:37:06
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:11
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:11
istio-ingressgateway,productpage-v1,2024-03-06 17:37:11
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 17:37:11
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:11
reviews-v2,ratings-v1,2024-03-06 17:37:11
productpage-v1,reviews-v2,2024-03-06 17:37:11
productpage-v1,reviews-v3,2024-03-06 17:37:11
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:11
productpage-v1,reviews-v1,2024-03-06 17:37:11
reviews-v3,ratings-v1,2024-03-06 17:37:11
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:11
productpage-v1,details-v1,2024-03-06 17:37:11
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:16
productpage-v1,details-v1,2024-03-06 17:37:16
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 17:37:16
reviews-v2,ratings-v1,2024-03-06 17:37:16
istio-ingressgateway,productpage-v1,2024-03-06 17:37:16
productpage-v1,reviews-v1,2024-03-06 17:37:16
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:16
productpage-v1,reviews-v3,2024-03-06 17:37:16
productpage-v1,reviews-v2,2024-03-06 17:37:16
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:16
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:16
reviews-v3,ratings-v1,2024-03-06 17:37:16
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:16
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:21
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:21
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:21
productpage-v1,reviews-v3,2024-03-06 17:37:21
reviews-v3,ratings-v1,2024-03-06 17:37:21
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:21
productpage-v1,reviews-v2,2024-03-06 17:37:21
istio-ingressgateway,productpage-v1,2024-03-06 17:37:21
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 17:37:21
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:21
productpage-v1,reviews-v1,2024-03-06 17:37:21
productpage-v1,details-v1,2024-03-06 17:37:21
reviews-v2,ratings-v1,2024-03-06 17:37:21
productpage-v1,details-v1,2024-03-06 17:37:26
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:26
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:26
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:26
reviews-v3,ratings-v1,2024-03-06 17:37:26
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:26
productpage-v1,reviews-v3,2024-03-06 17:37:26
istio-ingressgateway,productpage-v1,2024-03-06 17:37:26
reviews-v2,ratings-v1,2024-03-06 17:37:26
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 17:37:26
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:26
productpage-v1,reviews-v1,2024-03-06 17:37:26
productpage-v1,reviews-v2,2024-03-06 17:37:26
reviews-v3,ratings-v1,2024-03-06 17:37:31
istio-ingressgateway,productpage-v1,2024-03-06 17:37:31
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:31
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:31
productpage-v1,details-v1,2024-03-06 17:37:31
productpage-v1,reviews-v1,2024-03-06 17:37:31
productpage-v1,reviews-v2,2024-03-06 17:37:31
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:31
reviews-v1-7b76c4f45d-s5dnq,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:31
details-v1-b788479c5-bbg6t,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:31
productpage-v1,reviews-v3,2024-03-06 17:37:31
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 17:37:31
reviews-v2,ratings-v1,2024-03-06 17:37:31
productpage-v1,details-v1,2024-03-06 17:37:36
reviews-v3,ratings-v1,2024-03-06 17:37:36
reviews-v2,ratings-v1,2024-03-06 17:37:36
reviews-v3-5fd56449d8-tv4wp,izbp16opgy3xucvexwqp9dz,2024-03-06 17:37:36
reviews-v2-6ccf99c555-fqvhb,izbp1gwb52uyj3g0wn52lez,2024-03-06 17:37:36
productpage-v1,reviews-v3,2024-03-06 17:37:36
istio-ingressgateway,productpage-v1,2024-03-06 17:37:36
ratings-v1-5b6b66f9b5-7bln6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:36
productpage-v1-7fb564989f-lvdk6,izbp1gwb52uyj3g0wn52lfz,2024-03-06 17:37:36
productpage-v1,reviews-v1,2024-03-06 17:37:36
productpage-v1,reviews-v2,2024-03-06 17:37:36
