details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:12:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:13:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:14:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:15:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:16:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:17:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:18:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:19:50
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:19:55
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:00
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:05
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:10
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:15
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:20
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:25
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:30
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:35
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:40
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:45
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:50
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:20:55
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:00
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:05
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:10
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:15
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:20
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:25
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:30
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:35
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:40
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:45
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:50
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:21:55
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:00
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:05
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:10
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:15
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:20
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:25
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:30
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:35
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:40
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:45
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:50
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-11 14:22:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:23:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:40
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:45
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:50
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:24:55
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:25:00
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:25:05
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:25:10
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:25:15
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:25:20
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:25:25
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:25:30
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:25:35
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-11 14:25:40
