details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:02
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:07
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:12
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:17
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:22
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:27
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:32
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:37
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:42
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:47
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:52
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:44:57
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:02
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:07
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:12
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:17
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:22
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:27
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:32
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:37
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:42
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:47
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:52
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:45:57
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:02
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:07
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:12
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:17
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:22
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:27
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:32
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:37
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:42
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:47
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:52
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:46:57
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:02
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:07
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:12
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:17
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:22
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:27
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:32
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:37
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:42
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:47
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:52
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:47:57
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:02
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:07
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:12
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:17
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:22
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:27
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:32
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:37
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:42
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:47
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:52
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:48:57
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:02
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:07
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:12
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:17
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:22
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:27
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:32
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:37
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:42
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:47
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:52
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:49:57
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:02
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:07
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:12
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:17
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:22
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:27
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:32
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:37
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:42
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:47
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:52
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:50:57
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:51:02
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:51:07
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:51:12
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:51:17
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:51:22
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:51:27
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:51:32
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:51:37
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:51:42
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:51:47
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:51:52
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:51:57
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:02
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:07
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:12
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:17
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:22
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:27
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:32
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:37
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:42
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:47
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:52
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:52:57
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:02
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:07
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:12
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:17
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:22
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:27
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:32
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:37
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:42
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:47
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:52
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:53:57
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:54:02
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:54:07
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:54:12
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:54:17
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:54:22
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:54:27
1.0,1.0,1.0,1.0,2.0,1.0,2024-03-07 10:54:32
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 10:54:37
