details-v1&count,productpage-v1&count,ratings-v1&count,reviews-v1&count,reviews-v2&count,reviews-v3&count,timestamp
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:03
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:08
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:13
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:18
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:23
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:28
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:33
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:38
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:43
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:48
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:53
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 13:59:58
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:03
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:08
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:13
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:18
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:23
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:28
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:33
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:38
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:43
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:48
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:53
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:00:58
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:03
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:08
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:13
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:18
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:23
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:28
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:33
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:38
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:43
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:48
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:53
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:01:58
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:03
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:08
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:13
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:18
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:23
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:28
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:33
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:38
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:43
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:48
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:53
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:02:58
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:03:03
1.0,1.0,1.0,1.0,1.0,1.0,2024-03-07 14:03:08
